recency,history,mens,womens,newbie,zip_code,channel,segment,treatment,visit,conversion,spend,uplift_score,p_t,p_c,uplift_segment
11,54.11,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,-0.010805622,0.042992804,0.053798426,Lost Causes
4,36.49,1,0,1,Urban,Web,No E-Mail,0,0,0,0.0,-0.004040882,0.07250585,0.07654673,Lost Causes
5,399.46,1,0,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,-0.00024531782,0.1632896,0.16353492,Lost Causes
10,153.58,1,0,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,-0.0044029504,0.07372695,0.0781299,Lost Causes
2,29.99,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.016603567,0.102980465,0.0863769,Needs Attention
4,292.61,1,0,0,Surburban,Multichannel,No E-Mail,0,0,0,0.0,-0.07694973,0.13364173,0.21059147,Lost Causes
2,576.02,0,1,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.08130706,0.15852347,0.07721641,Persuadables
6,29.99,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.0017313361,0.11733767,0.11560633,Needs Attention
5,29.99,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.011936404,0.12965156,0.11771516,Needs Attention
3,29.99,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.07723121,0.14108838,0.06385717,Sure Things
7,968.65,1,1,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,-0.032833308,0.21093008,0.24376339,Lost Causes
9,311.81,1,0,0,Urban,Multichannel,Womens E-Mail,1,1,0,0.0,0.010707416,0.09367235,0.082964934,Needs Attention
12,80.56,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.017293692,0.11576955,0.09847586,Needs Attention
1,301.19,1,0,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.01249662,0.15510276,0.14260614,Needs Attention
10,29.99,0,1,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.077986404,0.18809114,0.11010474,Sure Things
1,895.43,0,1,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.049702153,0.20540632,0.15570417,Sure Things
10,36.28,1,0,1,Urban,Web,No E-Mail,0,0,0,0.0,-0.0058214553,0.03552294,0.041344397,Lost Causes
4,413.46,0,1,0,Rural,Phone,Womens E-Mail,1,0,0,0.0,0.02013795,0.21720953,0.19707158,Needs Attention
7,32.42,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.027550325,0.12672219,0.09917186,Needs Attention
10,170.32,1,0,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.03143382,0.04960869,0.018174868,Needs Attention
1,150.93,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,-0.006909758,0.1581881,0.16509786,Lost Causes
11,223.39,1,0,1,Rural,Phone,Womens E-Mail,1,0,0,0.0,0.028998978,0.10964252,0.08064354,Needs Attention
1,506.51,1,0,1,Urban,Multichannel,No E-Mail,0,0,0,0.0,0.0074120313,0.08126999,0.073857956,Needs Attention
3,29.99,0,1,0,Surburban,Web,Womens E-Mail,1,1,0,0.0,0.031416625,0.20475739,0.17334077,Needs Attention
2,145.76,0,1,1,Surburban,Web,No E-Mail,0,1,0,0.0,0.026402973,0.12967233,0.10326936,Needs Attention
1,29.99,1,0,1,Rural,Phone,Womens E-Mail,1,0,0,0.0,-0.04857599,0.09005991,0.1386359,Lost Causes
8,428.0,1,0,1,Surburban,Multichannel,No E-Mail,0,0,0,0.0,0.048448917,0.08914667,0.040697757,Sure Things
6,604.39,1,1,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.09696625,0.18577236,0.08880611,Persuadables
8,171.88,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.009254023,0.11101025,0.10175623,Needs Attention
4,370.86,0,1,0,Surburban,Multichannel,Womens E-Mail,1,0,0,0.0,0.010999247,0.19147658,0.18047734,Needs Attention
8,138.62,0,1,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.08304696,0.13332123,0.050274268,Persuadables
1,209.98,1,0,0,Surburban,Web,No E-Mail,0,1,0,0.0,-0.03059277,0.17125,0.20184277,Lost Causes
3,166.0,0,1,0,Urban,Web,No E-Mail,0,0,0,0.0,0.06063354,0.20338899,0.14275545,Sure Things
10,88.37,0,1,0,Urban,Phone,Womens E-Mail,1,1,1,29.99,0.09684224,0.1720958,0.07525357,Persuadables
1,60.71,0,1,1,Rural,Phone,Womens E-Mail,1,0,0,0.0,0.047032326,0.1776032,0.13057087,Sure Things
4,356.73,0,1,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.034339115,0.18292806,0.14858894,Needs Attention
6,277.81,1,0,1,Surburban,Multichannel,No E-Mail,0,0,0,0.0,0.0396781,0.083839074,0.044160973,Needs Attention
2,112.13,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.046614796,0.12581116,0.07919636,Sure Things
5,29.99,0,1,1,Rural,Web,No E-Mail,0,0,0,0.0,0.051142022,0.13632844,0.08518642,Sure Things
5,439.26,1,0,0,Surburban,Multichannel,Womens E-Mail,1,0,0,0.0,-0.013402775,0.12790191,0.14130469,Lost Causes
8,64.16,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.031491593,0.1631854,0.13169381,Needs Attention
5,29.99,0,1,0,Surburban,Web,No E-Mail,0,1,0,0.0,0.09013905,0.22785541,0.13771637,Persuadables
2,591.95,0,1,1,Urban,Multichannel,Womens E-Mail,1,0,0,0.0,0.0580298,0.14769961,0.08966981,Sure Things
8,130.31,1,0,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.03390252,0.06128577,0.027383251,Needs Attention
10,132.46,1,0,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,-0.0007389337,0.06559351,0.066332445,Lost Causes
4,225.89,1,1,1,Rural,Web,Womens E-Mail,1,0,0,0.0,0.0039852113,0.23165189,0.22766668,Needs Attention
2,115.56,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.0686386,0.1514403,0.08280169,Sure Things
8,104.94,0,1,0,Urban,Phone,No E-Mail,0,0,0,0.0,0.13273534,0.20565778,0.07292243,Persuadables
10,47.47,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.07223528,0.123160265,0.050924987,Sure Things
1,215.08,0,1,0,Surburban,Web,Womens E-Mail,1,1,0,0.0,0.07158598,0.25716922,0.18558323,Sure Things
2,224.89,1,1,0,Urban,Multichannel,No E-Mail,0,0,0,0.0,0.061804533,0.19352648,0.13172194,Sure Things
9,201.75,1,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.15725139,0.25924042,0.10198902,Persuadables
10,151.43,1,0,0,Urban,Web,No E-Mail,0,0,0,0.0,-0.021277592,0.075411454,0.096689045,Lost Causes
5,159.41,0,1,1,Surburban,Phone,Womens E-Mail,1,1,0,0.0,0.051945604,0.112208806,0.0602632,Sure Things
5,290.86,1,0,1,Urban,Web,No E-Mail,0,0,0,0.0,0.028349973,0.12780084,0.099450864,Needs Attention
4,87.2,0,1,1,Surburban,Phone,Womens E-Mail,1,1,0,0.0,0.114847586,0.16824079,0.053393204,Persuadables
4,770.38,0,1,1,Rural,Multichannel,No E-Mail,0,0,0,0.0,0.040187716,0.13485408,0.09466636,Needs Attention
2,1093.92,1,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.09628564,0.26141608,0.16513044,Persuadables
1,752.8,1,1,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.004579112,0.1585761,0.15399699,Needs Attention
2,199.95,1,0,1,Surburban,Phone,No E-Mail,0,0,0,0.0,0.05013233,0.09598748,0.045855146,Sure Things
9,239.91,0,1,0,Rural,Phone,No E-Mail,0,0,0,0.0,0.04507667,0.1669184,0.12184173,Sure Things
8,43.16,0,1,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.08780573,0.105301045,0.017495314,Persuadables
2,418.81,0,1,0,Surburban,Multichannel,No E-Mail,0,0,0,0.0,0.1388687,0.29956025,0.16069154,Persuadables
9,318.52,0,1,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.090190366,0.18453942,0.09434906,Persuadables
1,109.26,0,1,1,Surburban,Web,Womens E-Mail,1,1,0,0.0,0.09037921,0.1868792,0.096499994,Persuadables
9,135.02,1,0,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.020258624,0.054775212,0.034516588,Needs Attention
3,55.34,1,0,1,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.023978028,0.07725389,0.053275865,Needs Attention
4,297.8,1,1,0,Urban,Phone,Womens E-Mail,1,1,1,264.66,0.047905892,0.22690266,0.17899677,Sure Things
4,146.49,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.04844141,0.17137499,0.12293358,Sure Things
4,249.61,0,1,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.04867237,0.09404363,0.045371257,Sure Things
1,307.58,1,0,0,Surburban,Multichannel,No E-Mail,0,0,0,0.0,-0.022578582,0.15932024,0.18189882,Lost Causes
6,464.17,0,1,0,Surburban,Multichannel,Womens E-Mail,1,0,0,0.0,0.013372123,0.19085245,0.17748033,Needs Attention
6,29.99,1,0,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.017350052,0.07062911,0.05327906,Needs Attention
2,435.33,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.040516585,0.26295486,0.22243828,Needs Attention
5,180.28,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.075407624,0.18611753,0.110709906,Sure Things
2,350.48,1,0,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.026975483,0.13237655,0.10540107,Needs Attention
3,376.14,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,-0.014095232,0.13218693,0.14628217,Lost Causes
6,164.51,1,0,0,Surburban,Phone,Womens E-Mail,1,1,0,0.0,-0.0292672,0.11126823,0.14053543,Lost Causes
11,29.99,0,1,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.083928704,0.21961324,0.13568453,Persuadables
2,407.64,0,1,1,Urban,Web,Womens E-Mail,1,0,0,0.0,0.041662693,0.15574737,0.114084676,Sure Things
1,143.0,0,1,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.071256295,0.1930647,0.12180841,Sure Things
10,35.84,1,0,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.007057544,0.020518586,0.013461042,Needs Attention
3,190.66,0,1,1,Surburban,Web,Womens E-Mail,1,0,0,0.0,0.08214863,0.14456739,0.06241876,Persuadables
5,215.03,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.033949524,0.10753498,0.07358546,Needs Attention
1,856.4,0,1,1,Urban,Web,No E-Mail,0,0,0,0.0,0.058218583,0.22432216,0.16610357,Sure Things
10,245.09,1,0,0,Urban,Multichannel,No E-Mail,0,0,0,0.0,-0.0032740533,0.07291339,0.07618745,Lost Causes
6,127.2,0,1,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.077547856,0.1645277,0.08697984,Sure Things
3,327.1,1,0,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.040571176,0.12660234,0.08603116,Needs Attention
3,29.99,1,0,0,Urban,Phone,No E-Mail,0,0,0,0.0,0.009378411,0.11529845,0.10592004,Needs Attention
6,398.03,1,1,0,Surburban,Phone,No E-Mail,0,0,0,0.0,0.06960949,0.2393479,0.16973841,Sure Things
7,29.99,1,0,0,Surburban,Web,No E-Mail,0,0,0,0.0,0.002391182,0.12474541,0.12235423,Needs Attention
10,335.77,0,1,0,Rural,Multichannel,Womens E-Mail,1,0,0,0.0,0.0090068355,0.12620667,0.11719983,Needs Attention
12,465.37,0,1,1,Rural,Multichannel,No E-Mail,0,0,0,0.0,0.081319205,0.18220328,0.10088407,Persuadables
12,75.26,1,0,1,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.03269422,0.047052607,0.014358387,Needs Attention
10,327.18,0,1,0,Urban,Phone,Womens E-Mail,1,0,0,0.0,0.03514865,0.11844247,0.08329382,Needs Attention
1,188.89,0,1,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.034597054,0.17155634,0.13695928,Needs Attention
7,688.51,1,1,1,Rural,Multichannel,Womens E-Mail,1,0,0,0.0,0.18241766,0.34600303,0.16358536,Persuadables
3,229.42,0,1,0,Rural,Multichannel,No E-Mail,0,0,0,0.0,-0.03817442,0.20484465,0.24301907,Lost Causes
2,196.93,0,1,1,Rural,Web,Womens E-Mail,1,0,0,0.0,0.0652633,0.1946689,0.1294056,Sure Things
4,557.47,1,0,1,Urban,Web,No E-Mail,0,0,0,0.0,0.053400233,0.13213083,0.0787306,Sure Things
12,177.66,1,0,0,Surburban,Phone,Womens E-Mail,1,1,0,0.0,0.019505456,0.10673598,0.087230526,Needs Attention
9,29.99,0,1,0,Surburban,Phone,Womens E-Mail,1,0,0,0.0,0.09336957,0.1574179,0.06404832,Persuadables
10,168.04,1,0,0,Urban,Web,No E-Mail,0,0,0,0.0,-0.012833498,0.11509203,0.12792553,Lost Causes
5,173.65,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.013411984,0.14771557,0.13430358,Needs Attention
4,164.7,1,0,0,Surburban,Phone,No E-Mail,0,0,0,0.0,-0.04781945,0.10696173,0.15478118,Lost Causes
2,57.53,1,0,1,Urban,Phone,No E-Mail,0,0,0,0.0,0.025009293,0.076299146,0.051289853,Needs Attention
10,29.99,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,0.011083849,0.09346843,0.08238458,Needs Attention
10,29.99,0,1,0,Surburban,Web,No E-Mail,0,1,1,149.28,0.077986404,0.18809114,0.11010474,Sure Things
4,63.22,1,0,0,Surburban,Web,Womens E-Mail,1,0,0,0.0,-0.008836389,0.12618558,0.13502197,Lost Causes
4,550.59,1,0,1,Surburban,Web,No E-Mail,0,0,0,0.0,0.05877702,0.13942984,0.08065282,Sure Things
11,91.23,1,0,0,Urban,Web,Womens E-Mail,1,0,0,0.0,-0.06463984,0.09606893,0.16070877,Lost Causes
2,571.53,1,0,1,Rural,Multichannel,Womens E-Mail,1,0,0,0.0,-0.0042827427,0.114106216,0.11838896,Lost Causes
